Response TIME (s),Size (Bytes)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.00135716,544
0.00135716,544
0.00135716,544
0.00135716,544
0.00135716,544
0.00133696,544
0.00133696,544
0.00133696,544
0.00133696,544
0.00133696,544
0.00139122,544
0.00139122,544
0.00139122,544
0.00139122,544
0.00139122,544
0.00134988,544
0.00134988,544
0.00134988,544
0.00134988,544
0.00134988,544
0.00138966,544
0.00138966,544
0.00138966,544
0.00138966,544
0.00138966,544
0.00138788,544
0.00138788,544
0.00138788,544
0.00138788,544
0.00138788,544
0.00144322,544
0.00144322,544
0.00144322,544
0.00144322,544
0.00144322,544
0.00135596,544
0.00135596,544
0.00135596,544
0.00135596,544
0.00135596,544
0.00132908,544
0.00132908,544
0.00132908,544
0.00132908,544
0.00132908,544
0.0013608,544
0.0013608,544
0.0013608,544
0.0013608,544
0.0013608,544
0.00138358,544
0.00138358,544
0.00138358,544
0.00138358,544
0.00138358,544
0.00131156,544
0.00131156,544
0.00131156,544
0.00131156,544
0.00131156,544
0.00130894,544
0.00130894,544
0.00130894,544
0.00130894,544
0.00130894,544
0.00127838,544
0.00127838,544
0.00127838,544
0.00127838,544
0.00127838,544
0.00141778,544
0.00141778,544
0.00141778,544
0.00141778,544
0.00141778,544
0.00130486,544
0.00130486,544
0.00130486,544
0.00130486,544
0.00130486,544
0.0013181,544
0.0013181,544
0.0013181,544
0.0013181,544
0.0013181,544
0.0013075,544
0.0013075,544
0.0013075,544
0.0013075,544
0.0013075,544
0.00132186,544
0.00132186,544
0.00132186,544
0.00132186,544
0.00132186,544
0.0013465,544
0.0013465,544
0.0013465,544
0.0013465,544
0.0013465,544
0.0013387,544
0.0013387,544
0.0013387,544
0.0013387,544
0.0013387,544
0.00136716,544
0.00136716,544
0.00136716,544
0.00136716,544
0.00136716,544
